,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
750,172.29166666666666,7.669415268164549,2.151666666666667,1.5922721361487018,6.281666666666666,2.9488411094680753,14.711666666666666,5.144433615299381,39.38333333333333,11.110343029007804,234.82,9.050834215695255,4.836666666666667,0.36966952208094644,0.7533333333333333,0.43107101760872446
760,172.98833333333334,7.594396874597016,2.0733333333333333,1.560327600929438,6.11,2.9111108990670007,14.341666666666667,5.054529047190141,38.76166666666666,11.074062664121467,234.275,9.096118677765814,4.825,0.37996710383926746,0.7966666666666666,0.4024784328245315
770,173.745,7.4866531240601715,2.026666666666667,1.5262008022828708,5.928333333333334,2.877475262949948,14.001666666666667,4.982134471176868,38.123333333333335,11.027304999661318,233.825,8.9917207289076,4.818333333333333,0.3855695642667978,0.7683333333333333,0.421897170199352
780,174.40166666666667,7.428570783730159,1.95,1.4620191517213474,5.75,2.842094298224463,13.668333333333333,4.970076849394672,37.498333333333335,11.017561612665892,233.26833333333335,8.936423439435327,4.815,0.38829756630708034,0.7666666666666667,0.4229525846816492
790,175.08333333333334,7.441307382144313,1.8816666666666666,1.4506310887181306,5.585,2.807628002424824,13.331666666666667,4.8749356121103995,36.85333333333333,10.988258379844472,232.735,8.869316490012071,4.796666666666667,0.40247843282452933,0.75,0.4330127018922193
800,175.71333333333334,7.407731696605173,1.8183333333333334,1.4184488789597687,5.421666666666667,2.754486743882103,12.991666666666667,4.829934149539606,36.23166666666667,10.937610824835364,232.17666666666668,8.783628078546021,4.791666666666667,0.41019981580796394,0.76,0.42708313008125065
810,176.40166666666667,7.366161181752406,1.7383333333333333,1.377145800398617,5.2283333333333335,2.700530297717262,12.693333333333333,4.775558140736595,35.525,10.872106894863276,231.58666666666667,8.742948905006571,4.781666666666666,0.42110634708533295,0.77,0.4208325082500147
820,177.025,7.336964063334824,1.6733333333333333,1.3478212871973148,5.0633333333333335,2.6215750142911305,12.381666666666666,4.723628254730556,34.95666666666666,10.882009107799083,231.1,8.735941086492446,4.77,0.428680144941033,0.8066666666666666,0.39491208585653
830,177.59833333333333,7.252838333293338,1.6083333333333334,1.318432360376854,4.931666666666667,2.586567330566819,12.076666666666666,4.683387900037983,34.39833333333333,10.901207756737586,230.61333333333334,8.74798008431407,4.753333333333333,0.4387355569006094,0.8283333333333334,0.37709046954573416
840,178.24166666666667,7.183077141603193,1.56,1.307567716538353,4.805,2.570403664796641,11.743333333333334,4.569914903170765,33.81166666666667,10.831721803214032,230.16166666666666,8.625284375344132,4.74,0.44988887516807946,0.78,0.4142463035441608
850,178.82333333333332,7.104608050804456,1.5116666666666667,1.3050659838576093,4.685,2.527009101685231,11.473333333333333,4.543415259716231,33.225,10.718257398787681,229.71833333333333,8.433208003021285,4.726666666666667,0.4567518168789523,0.8133333333333334,0.38964371189873287
