,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
570,150.84166666666667,9.669880931129514,8.893333333333333,3.6270220414120544,16.416666666666668,5.413537557724054,24.77,7.272122569557439,48.041666666666664,11.327691610483681,248.96333333333334,11.470628675980333,5.0,0.0,0.64,0.47999999999999954
580,152.08166666666668,9.633535032490533,8.73,3.618991572247727,16.105,5.319521438375203,24.503333333333334,7.227031817343058,47.69,11.39344402130746,249.11,11.542872259537484,5.0,0.0,0.62,0.48538644398046427
590,153.29666666666665,9.612942086351898,8.565,3.5635808301950074,15.855,5.270418231348753,24.173333333333332,7.187486038633782,47.285,11.39782618163072,249.175,11.49917569509513,5.0,0.0,0.63,0.4828043081829312
600,154.495,9.561727964477273,8.376666666666667,3.4705603133916076,15.518333333333333,5.209894166124894,23.846666666666668,7.2046158043915725,46.925,11.477196594406944,249.16166666666666,11.457698891526558,4.998333333333333,0.040790794168401596,0.6216666666666667,0.4849713622702079
610,155.66166666666666,9.497045008258564,8.198333333333334,3.420866930407489,15.176666666666666,5.1217303933555725,23.501666666666665,7.185865562956832,46.46,11.534516316979518,248.99833333333333,11.444722097494937,4.998333333333333,0.040790794168401596,0.6083333333333333,0.4881228215202473
620,156.705,9.537888043656904,8.018333333333333,3.3839814650135938,14.878333333333334,5.024957434866718,23.095,7.157232356155551,45.97833333333333,11.552540725841324,248.675,11.279599948579726,4.998333333333333,0.040790794168401596,0.6566666666666666,0.47482160392673345
630,157.77,9.570114941838476,7.82,3.3502636712155494,14.568333333333333,4.9811642436504995,22.781666666666666,7.139841073550277,45.526666666666664,11.616337154580574,248.46666666666667,11.289326325733036,4.998333333333333,0.040790794168401596,0.6366666666666667,0.48095968877050477
640,158.91166666666666,9.458181496578622,7.636666666666667,3.324854215684587,14.306666666666667,4.979553750644286,22.416666666666668,7.067747558844717,45.013333333333335,11.621380679114196,248.285,11.241757350758531,4.998333333333333,0.040790794168401596,0.6766666666666666,0.4677487454701388
650,159.975,9.452391672657956,7.483333333333333,3.28781420129274,14.021666666666667,4.940768889780435,22.073333333333334,7.032398042077982,44.538333333333334,11.678121876207479,248.09166666666667,11.270311910304683,4.998333333333333,0.040790794168401596,0.6566666666666666,0.47482160392673345
660,160.96833333333333,9.411375947342778,7.345,3.248995998766386,13.786666666666667,4.921837958414406,21.673333333333332,6.984980712611564,44.05,11.696901299062054,247.82333333333332,11.213033586956843,4.998333333333333,0.040790794168401596,0.67,0.47021271782035096
670,161.99166666666667,9.311369245294815,7.16,3.217307362790605,13.493333333333334,4.831834250284476,21.28,6.937694141427679,43.55,11.731616825200742,247.475,11.113927073721525,4.996666666666667,0.05763872155263576,0.6566666666666666,0.47482160392673345
680,162.96666666666667,9.29043713838171,6.9783333333333335,3.158775694614751,13.201666666666666,4.806349677481054,20.855,6.873425274199171,42.98,11.780616848592155,246.98166666666665,10.97882798339099,4.996666666666667,0.05763872155263576,0.7016666666666667,0.45752656267757447
690,163.94333333333333,9.165703585771372,6.791666666666667,3.1195508045585996,12.886666666666667,4.733619709646681,20.46,6.765481012709542,42.446666666666665,11.731175938024656,246.52833333333334,10.865811699495302,4.996666666666667,0.05763872155263576,0.6783333333333333,0.4671158552460209
700,164.89,9.192636545989764,6.608333333333333,3.0672893389585676,12.608333333333333,4.704777418279804,20.058333333333334,6.689663461058574,41.89833333333333,11.734052889868105,246.06333333333333,10.8044430161341,4.996666666666667,0.05763872155263576,0.69,0.4624932431938901
710,165.74666666666667,9.186719883735542,6.42,3.012794937152766,12.346666666666666,4.642537620262816,19.68166666666667,6.600277561503671,41.37,11.804226644158716,245.565,10.71878918846092,4.995,0.07053367989832915,0.6866666666666666,0.4638486343146394
720,166.57,9.176333690532408,6.293333333333333,2.9783589814228617,12.066666666666666,4.549969474867087,19.288333333333334,6.605441990426444,40.89,11.737173140638824,245.10833333333332,10.579064099542178,4.995,0.07053367989832915,0.7233333333333334,0.44735022322809187
730,167.42833333333334,9.125323586347806,6.125,2.8987425434717955,11.761666666666667,4.504242136278001,18.893333333333334,6.582194838265485,40.38666666666666,11.737851402857151,244.595,10.508931518792322,4.993333333333333,0.08137703743822432,0.7066666666666667,0.4552898954390357
740,168.33833333333334,9.1003954431784,5.971666666666667,2.8450302673648697,11.483333333333333,4.38365017866263,18.466666666666665,6.534183618138957,39.861666666666665,11.797988411401134,244.12166666666667,10.416342794965148,4.993333333333333,0.08137703743822432,0.6916666666666667,0.46180503341658197
750,169.15,9.055431151156384,5.826666666666667,2.816609466874822,11.168333333333333,4.337049368202097,18.091666666666665,6.422091862383226,39.236666666666665,11.705012696371671,243.47333333333333,10.260407182736735,4.993333333333333,0.08137703743822432,0.7233333333333334,0.4473502232280924
760,169.90666666666667,8.973922714671046,5.6466666666666665,2.77401433946466,10.933333333333334,4.298320085283972,17.691666666666666,6.371022724457637,38.635,11.691668329769428,242.81333333333333,10.210867848631775,4.993333333333333,0.08137703743822432,0.725,0.44651427748729566
770,170.73333333333332,8.905928113091619,5.47,2.7596678544105018,10.715,4.185742666082886,17.293333333333333,6.269020834406457,38.138333333333335,11.628522285980942,242.35,10.070460102034406,4.993333333333333,0.08137703743822432,0.7233333333333334,0.44735022322809226
780,171.50666666666666,8.82798328548987,5.325,2.7238529696002276,10.418333333333333,4.0995931369940735,16.888333333333332,6.231307825988235,37.556666666666665,11.652186728488156,241.695,10.088209702419949,4.991666666666666,0.09090593428863088,0.75,0.4330127018922193
790,172.20166666666665,8.803843699708032,5.173333333333333,2.6838943512904674,10.138333333333334,4.088911496012382,16.505,6.191928213408169,36.915,11.597317577784954,240.93333333333334,10.042188783106779,4.99,0.09949874371066206,0.76,0.4270831300812506
800,172.875,8.745820430354147,5.0216666666666665,2.645977555124426,9.891666666666667,4.044741098705279,16.09,6.11052916421046,36.35,11.616547106032282,240.22833333333332,10.104266288168684,4.988333333333333,0.10738042445229659,0.77,0.4208325082500142
810,173.59666666666666,8.647773637699414,4.883333333333334,2.5832258042137077,9.611666666666666,3.985498365602767,15.71,5.940474167382043,35.711666666666666,11.56122242191062,239.51333333333332,9.919164391329659,4.988333333333333,0.10738042445229659,0.7483333333333333,0.4339706851338659
820,174.24166666666667,8.534435963918312,4.716666666666667,2.515893921098866,9.365,3.959180260272738,15.366666666666667,5.857379011886532,35.155,11.545171068459751,238.845,9.89533433829634,4.986666666666666,0.11469767022723538,0.7883333333333333,0.4084897659536741
830,175.00833333333333,8.348748242833903,4.601666666666667,2.5072555824158784,9.126666666666667,3.949340310594782,15.031666666666666,5.808384504796105,34.54,11.492246661699058,238.30833333333334,9.920513959580028,4.98,0.14000000000000104,0.7366666666666667,0.4404416974911527
