,param,value,run,t_max,v_max,t_int,v_int
142,K,5,3,45,0.005869699841860809,164.0,0.001419130830254467
143,K,5,4,66,0.008643214640579709,242.0,0.0011858953344547893
144,K,5,5,56,0.006723667060789086,242.0,0.0018302900912561262
145,K,5,6,29,0.00864385291098535,660.0,0.0004795471833862752
146,K,5,7,48,0.008220585989704876,294.0,0.0046506147100120465
147,K,5,8,25,0.008110225814701666,882.0,0.0005840955684812688
148,K,5,9,48,0.009812418621819141,357.0,0.0016587044810709715
149,K,5,10,36,0.005778015982411899,660.0,0.0014163858550235722
150,K,5,11,78,0.005423231592234457,285.0,0.0016732408480970573
151,K,5,12,17,0.00672847499789575,941.0,0.0007037712264115202
152,K,5,13,68,0.005195364970759453,242.0,0.0014580079560790882
153,K,5,14,26,0.006584960754446145,369.0,0.001400164009560001
154,K,5,15,140,0.0045518505925479244,2044.0,0.0005413560891829317
155,K,5,16,37,0.004395943565698389,1387.0,0.0007690058807570123
156,K,5,17,89,0.003925926892810239,144.0,0.003077910675621132
157,K,5,18,48,0.0072066089742783826,285.0,0.0016605297065690472
158,K,5,19,42,0.006178396792749119,1387.0,0.00031824015939085903
159,K,5,20,39,0.006379614961270708,206.0,0.0011287590573958448
160,K,50,1,62,0.05291663272913372,727.0,0.014083212892809447
161,K,50,2,86,0.06722557706773191,419.0,0.015792850470641717
162,K,50,3,48,0.05453646845246407,477.0,0.018491530056267358
163,K,50,4,29,0.0584840274646119,681.0,0.012154435273769693
164,K,50,5,64,0.05928724876488989,543.0,0.015184874111720426
165,K,50,6,28,0.06905939584468612,681.0,0.015864120679740527
166,K,50,7,48,0.05138747864727211,493.0,0.01533275382596244
167,K,50,8,89,0.06601425048388254,433.0,0.01754978064322099
168,K,50,9,58,0.05015733309055381,369.0,0.021020028167343163
169,K,50,10,58,0.0632286705168017,681.0,0.012625169351697885
170,K,50,11,54,0.052556354687911984,393.0,0.02194303621262872
171,K,50,12,54,0.0635739451606856,660.0,0.014094799406728418
172,K,50,13,51,0.058915744621843125,618.0,0.014711795169558785
173,K,50,14,80,0.0633024911269846,681.0,0.013147981557701804
174,K,50,15,49,0.06168440479496784,526.0,0.017665781630611832
175,K,50,16,66,0.05567406353157889,509.0,0.016072269136552464
176,K,50,17,75,0.05905283217473389,393.0,0.018895503453758344
177,K,50,18,32,0.05492050023531903,941.0,0.01303517789048847
178,K,50,19,56,0.06497105948241444,543.0,0.01385186886865597
179,K,50,20,68,0.054716670456796734,448.0,0.02066315969841881
180,K,100,1,75,0.096864855725876,509.0,0.035534173559732984
181,K,100,2,73,0.10278652922094622,493.0,0.03246683942989037
182,K,100,3,46,0.10128029631535362,639.0,0.030480770111934063
183,K,100,4,46,0.10523205931485524,369.0,0.03808191510648218
184,K,100,5,46,0.11269834900034592,493.0,0.033088842368724336
185,K,100,6,46,0.10941541847515436,526.0,0.029258089187751857
186,K,100,7,45,0.10711397671859313,477.0,0.03537991867077395
187,K,100,8,34,0.0999430331569986,448.0,0.0338217943772241
188,K,100,9,58,0.11080756891999233,406.0,0.034871610530370134
189,K,100,10,66,0.11167081973623194,751.0,0.024847386378505483
190,K,100,11,66,0.10158767021046787,618.0,0.029841454377367068
191,K,100,12,73,0.11471806935611185,580.0,0.02654420988769868
192,K,100,13,53,0.11235578003185333,433.0,0.03715273078286252
193,K,100,14,46,0.10578581580378188,599.0,0.03342045297843743
194,K,100,15,68,0.1041780775285872,433.0,0.036067865937680736
195,K,100,16,80,0.10523156002759304,526.0,0.03080482711834165
196,K,100,17,68,0.0989472604866295,681.0,0.024584046417403197
197,K,100,18,75,0.09654108298252416,406.0,0.038436594711042105
198,K,100,19,36,0.10705313644636673,561.0,0.032283744616477435
199,K,100,20,66,0.1008870717735526,493.0,0.03306222599702036
200,K,150,1,71,0.13736522394792414,580.0,0.042590003817695184
201,K,150,2,75,0.13667756107817208,751.0,0.03491752402939596
202,K,150,3,60,0.14450007339405424,526.0,0.04822931880207016
203,K,150,4,64,0.15136786447510794,543.0,0.044007499093523535
204,K,150,5,75,0.13272545556866433,448.0,0.05241237463912008
205,K,150,6,62,0.1422746159766053,727.0,0.03820086202371531
206,K,150,7,49,0.1437466342124809,561.0,0.04652559567580816
207,K,150,8,92,0.14224359819851795,543.0,0.0456257900548831
208,K,150,9,54,0.1383846015475152,561.0,0.04445225874296898
209,K,150,10,54,0.14526543933992286,561.0,0.04443805059290806
210,K,150,11,75,0.1504945671805551,433.0,0.05503394991441102
211,K,150,12,56,0.1250576402007706,580.0,0.04467425319944951
212,K,150,13,83,0.147331133661047,509.0,0.04996577161349336
213,K,150,14,39,0.14446833744635867,509.0,0.044305954044543405
214,K,150,15,39,0.13251468695752774,477.0,0.04781747717793028
215,K,150,16,68,0.1340879594887996,526.0,0.046829129373798566
216,K,150,17,60,0.1408743228238869,599.0,0.04649533470403711
217,K,150,18,60,0.1383151599778918,526.0,0.04577061388930392
218,K,150,19,73,0.1493498433895466,775.0,0.034728135636532535
219,K,150,20,66,0.13140894781102566,526.0,0.043811131489058575
220,K,200,1,45,0.1567964676745035,448.0,0.0655359262119184
221,K,200,2,56,0.1811764833656344,580.0,0.057760979235153435
222,K,200,3,51,0.18102787573787005,618.0,0.048425649850670986
223,K,200,4,73,0.17259796152161222,526.0,0.05358095413123465
224,K,200,5,115,0.15358444243222635,509.0,0.056409780548655426
225,K,200,6,51,0.17013813994578084,660.0,0.05024907828624059
226,K,200,7,45,0.1761757300168334,580.0,0.05623860539292736
227,K,200,8,64,0.17041201943552586,561.0,0.05965831014544243
228,K,200,9,78,0.15510963129701416,433.0,0.060602302912977635
229,K,200,10,51,0.16111403934639945,543.0,0.05516688823578608
230,K,200,11,89,0.15064282138876714,543.0,0.0542641649439144
231,K,200,12,58,0.1956519691037535,599.0,0.05447894942123188
232,K,200,13,41,0.18077091299964645,462.0,0.059483835675505865
233,K,200,14,48,0.18692549199809072,509.0,0.05886095899047295
234,K,200,15,66,0.1525152975323989,580.0,0.05184192860622083
235,K,200,16,58,0.16146633220457218,543.0,0.062130950762236736
236,K,200,17,60,0.17956375050759374,561.0,0.05645161512046126
237,K,200,18,95,0.16428056694712811,357.0,0.07330208806688178
238,K,200,19,51,0.18170267461337095,493.0,0.06332282218006391
239,K,200,20,80,0.17190480234736327,509.0,0.060075865031764764
240,N,5,1,51,0.027874622020055195,704.0,0.005503208032911378
241,N,5,2,53,0.03013451229226138,275.0,0.00853319804449537
242,N,5,3,75,0.02764773525623676,972.0,0.0038529392660442423
243,N,5,4,38,0.02821241160944598,704.0,0.00596047951146339
244,N,5,5,62,0.026336626517809325,477.0,0.007042965489453934
245,N,5,6,28,0.022512530233921524,406.0,0.008097332571639805
246,N,5,7,60,0.021196429519643626,304.0,0.009212442738666391
247,N,5,8,30,0.024395224413847227,561.0,0.005723924621007903
248,N,5,9,34,0.02590864467138232,406.0,0.009195955088382668
249,N,5,10,46,0.026875816387541995,275.0,0.011232618303654185
250,N,5,11,51,0.02152025538476554,618.0,0.006195362435947428
251,N,5,12,33,0.028419471321064368,580.0,0.006230188321092457
252,N,5,13,37,0.025914580923821262,324.0,0.011361908067544224
253,N,5,14,73,0.02705514241939166,704.0,0.005035602302265296
254,N,5,15,64,0.027518478754057,827.0,0.004300677337056857
255,N,5,16,22,0.028052205027907732,727.0,0.004149463870430914
256,N,5,17,71,0.026286265225264227,639.0,0.007070979808923905
257,N,5,18,56,0.02970811086762515,639.0,0.00661535669469604
258,N,5,19,56,0.03007579425254558,660.0,0.005093364573121928
259,N,5,20,53,0.029831931861819868,775.0,0.003929764121247903
260,N,50,1,827,0.032811321356016165,73745.0,0.000901527995670115
261,N,50,2,462,0.035911042400544435,73745.0,0.0009325403803832619
262,N,50,3,509,0.03668294605466338,155017.0,0.00040604471584471113
263,N,50,4,681,0.03299023366789333,108660.0,0.0006021335876278401
264,N,50,5,599,0.03390214914588041,101862.0,0.0006297761355251731
265,N,50,6,543,0.03433355339676947,98625.0,0.0006886122218388023
