gamma,eta,zeta,jsd_phis,jsd_alpha_mphi,entropy_mphi,std_jsd_phis,std_alpha_mphi,pearson_r,pearson_r_p_value,jsd_mphi_psi,entropy_psi,jsd_psi_alpha,jsd_psi_slices,gamma,eta,zeta,reflectance,coherence,synonymy
1,1,5,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.00011887918400540131,4.460792759967297e-06,0.015536883307468725,0.8891265907089062,0.051197121206446816,0.7359065479382736,0.05151130951533967,0.001351196984295696,1,1,5,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0004146536712367977,2.153615152915681e-05,-0.09797477902148588,0.3782212034786308,0.05162880391413571,0.7353636041703965,0.05192866613778513,0.0013589790249140714,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00032114083141284605,1.6007792686013543e-05,-0.09817116897418024,0.3772614398795828,0.05055369826236733,0.7367190154954271,0.050870248290964426,0.0013572219013427281,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0003048657817508272,1.5591789556962532e-05,0.06139025957527396,0.581407276580589,0.05121415558745168,0.735886724877659,0.05152535426734461,0.0014704186542693766,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00011887918400539982,4.460792759967297e-06,-0.15728709268918262,0.15558500973314734,0.051109196947598516,0.7359872040865245,0.051436449386325744,0.0013674099664912262,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,inf,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0002949967613417823,1.5341715342110482e-05,-0.13038272476425936,0.2400540726005849,0.06618688077636925,0.7176575638047781,0.0665472786207224,0.0015160347165813013,1,1,inf,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,inf,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.00031077959326104534,1.5742627132563944e-05,-0.00590253330939538,0.9577641295527132,0.06463050821617466,0.7194159743115189,0.06499079260684093,0.0013792163224726716,1,1,inf,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,inf,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0001188791840053968,4.460792759967297e-06,-0.0893252707629351,0.4219415746474854,0.06356742916814895,0.7206505491660998,0.06392486063116333,0.0013292190490829324,1,1,inf,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,inf,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00029142302598774035,1.5251799547814895e-05,-0.10022218178256036,0.3673263476243301,0.06516330427274886,0.7187996743662742,0.06552742037290926,0.0015028246912904923,1,1,inf,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,inf,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00010922376206289672,4.098485122546321e-06,-0.05918459267545618,0.5950818484547012,0.06673870836054663,0.7170282946327245,0.06710806286141002,0.0014055631553397596,1,1,inf,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,inf,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00010922376206290492,4.09848512254632e-06,-0.1416049239208433,0.2016153403498837,0.06431976408764584,0.7197778134133944,0.06466433325178844,0.001436884414130665,1,1,inf,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,inf,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,9.831694356595452e-05,3.6892203938848495e-06,0.04226447963510043,0.7044073141986052,0.06410190714762143,0.7199801262850767,0.06445125705062305,0.001360024835182181,1,1,inf,0.9999842391590907,0.9998406203907165,0.8685471361510304
